source_file,record_index,epoch_tt2000,epoch_utc,channel,cdf_variable,baseline_method,baseline,robust_sigma,mean,std,sample_count
imap_idex_l1b_sci-10days_20251216_v003.cdf,21,819201836692193024,2025-12-17T00:02:47.508193024,Target H,Target_High,mean,333.25477343750003,0.12271989843751348,333.25477343750003,0.11836120331715054,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,21,819201836692193024,2025-12-17T00:02:47.508193024,Target L,Target_Low,mean,32608.021484375007,4.712467265615291,32608.021484375007,9.270918457554405,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,21,819201836692193024,2025-12-17T00:02:47.508193024,Ion Grid,Ion_Grid,mean,1.5097335273437498,0.0002527427601567903,1.5097335273437498,0.0004618743099140749,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,22,819201848692102400,2025-12-17T00:02:59.508102400,TOF H,TOF_High,mean,0.14774725326657712,0.00095813509302726,0.14774725326657712,0.0007691323352438999,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,22,819201848692102400,2025-12-17T00:02:59.508102400,TOF M,TOF_Mid,mean,5.792321492245694,0.009965284403466853,5.792321492245694,0.011323861195749609,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,22,819201848692102400,2025-12-17T00:02:59.508102400,TOF L,TOF_Low,mean,263.9823407009403,1.207341523214098,263.9823407009403,0.9320211228733098,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,22,819201848692102400,2025-12-17T00:02:59.508102400,Target H,Target_High,mean,333.22070898437505,0.16944785976560342,333.22070898437505,0.12336538746962973,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,22,819201848692102400,2025-12-17T00:02:59.508102400,Target L,Target_Low,mean,32607.89804687501,4.895475703113133,32607.89804687501,8.683227146936545,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,22,819201848692102400,2025-12-17T00:02:59.508102400,Ion Grid,Ion_Grid,mean,1.5096388203124997,0.00039315540468808443,1.5096388203124997,0.0004926661986958726,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,23,819201860692031616,2025-12-17T00:03:11.508031616,TOF H,TOF_High,mean,0.14774513579191598,0.0009549957250946543,0.14774513579191598,0.0007813014793198732,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,23,819201860692031616,2025-12-17T00:03:11.508031616,TOF M,TOF_Mid,mean,5.793273623153009,0.011376913686652149,5.793273623153009,0.011284552981285011,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,23,819201860692031616,2025-12-17T00:03:11.508031616,TOF L,TOF_Low,mean,263.95692001465386,1.1696528137258042,263.95692001465386,0.9185671311240292,8189
imap_idex_l1b_sci-10days_20251216_v003.cdf,23,819201860692031616,2025-12-17T00:03:11.508031616,Target H,Target_High,mean,333.20192578125005,0.04436796328129247,333.20192578125005,0.11676630289419225,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,23,819201860692031616,2025-12-17T00:03:11.508031616,Target L,Target_Low,mean,32607.219140625006,5.902022109367449,32607.219140625006,8.901151218323802,512
imap_idex_l1b_sci-10days_20251216_v003.cdf,23,819201860692031616,2025-12-17T00:03:11.508031616,Ion Grid,Ion_Grid,mean,1.50969855859375,0.00030458742890658884,1.50969855859375,0.00045940405571844956,512
